,BMP VITA
R0510,1.393
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,1.393
R0570,0.0
R0580,1.386
R0590,3.0
R0600,5839613.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,5839613.0
R0660,0.0
R0670,5809051.0
R0680,30582.0
R0690,1092664.0
R0700,0.0
R0710,1086960.0
R0720,5704.0
R0730,0.0
R0740,920.0
R0750,0.0
R0760,2411.0
R0770,0.0
R0780,73021.0
R0790,0.0
R0800,0.0
R0810,3008.0
R0820,9286.0
R0830,413.0
R0840,82398.0
R0850,8000.0
R0860,0.0
R0870,8000.0
R0880,2641.0
R0890,0.0
R0900,7115769.0
R1000,1388915.0
