,CNP_VITA
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,0.0
R0570,0.0
R0580,0.0
R0590,0.0
R0600,15576307.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,15576307.0
R0660,0.0
R0670,15338298.0
R0680,238009.0
R0690,7393485.0
R0700,0.0
R0710,7346441.0
R0720,47044.0
R0730,0.0
R0740,0.0
R0750,1436.0
R0760,1124.0
R0770,7973.0
R0780,269245.0
R0790,5333.0
R0800,584.0
R0810,250000.0
R0820,254164.0
R0830,2230.0
R0840,76780.0
R0850,453926.0
R0860,0.0
R0870,453926.0
R0880,86158.0
R0890,0.0
R0900,24378745.0
R1000,1914325.0
