,CREDEM_VITA
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,0.0
R0570,0.0
R0580,0.0
R0590,0.0
R0600,4901227.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,4901227.0
R0660,0.0
R0670,4821632.0
R0680,79595.0
R0690,5197613.0
R0700,0.0
R0710,5113436.0
R0720,84177.0
R0730,0.0
R0740,0.0
R0750,0.0
R0760,2724.0
R0770,0.0
R0780,159614.0
R0790,0.0
R0800,149.0
R0810,442.0
R0820,82193.0
R0830,733.0
R0840,93816.0
R0850,0.0
R0860,0.0
R0870,0.0
R0880,2639.0
R0890,0.0
R0900,10441151.0
R1000,828242.0
