,GENERALI ITALIA
R0010,0.0
R0030,0.0
R0040,83675.0
R0050,0.0
R0060,453560.0
R0070,87964448.0
R0080,1445609.0
R0090,18515654.0
R0100,4048034.0
R0110,946556.0
R0120,3101477.0
R0130,52305686.0
R0140,29358204.0
R0150,17230765.0
R0160,5497133.0
R0170,219583.0
R0180,11558227.0
R0190,91239.0
R0200,0.0
R0210,0.0
R0220,16665297.0
R0230,719227.0
R0240,56534.0
R0250,6100.0
R0260,656592.0
R0270,4517353.0
R0280,4511603.0
R0290,4368484.0
R0300,143119.0
R0310,5750.0
R0320,0.0
R0330,5750.0
R0340,0.0
R0350,208147.0
R0360,2369244.0
R0370,175618.0
R0380,2173720.0
R0390,0.0
R0400,0.0
R0410,835068.0
R0420,1269395.0
R0500,117434752.0
