,HELVETIA_VITA
R0510,-1.0
R0520,-1.0
R0530,-1.0
R0540,-1.0
R0550,-1.0
R0560,-1.0
R0570,-1.0
R0580,-1.0
R0590,-1.0
R0600,2277373.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,2277373.0
R0660,0.0
R0670,2225528.0
R0680,51845.0
R0690,1476415.0
R0700,0.0
R0710,1463036.0
R0720,13380.0
R0730,0.0
R0740,0.0
R0750,1456.0
R0760,259.0
R0770,0.0
R0780,0.0
R0790,0.0
R0800,0.0
R0810,163.0
R0820,47230.0
R0830,799.0
R0840,14808.0
R0850,73388.0
R0860,0.0
R0870,73388.0
R0880,9544.0
R0890,0.0
R0900,3901435.0
R1000,299693.0
