,UNICREDIT VITA
R0510,-1.0
R0520,-1.0
R0530,-1.0
R0540,-1.0
R0550,-1.0
R0560,-1.0
R0570,-1.0
R0580,-1.0
R0590,-1.0
R0600,6476274.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,6476274.0
R0660,0.0
R0670,6430761.0
R0680,45513.0
R0690,8861898.0
R0700,0.0
R0710,8851555.0
R0720,10343.0
R0730,0.0
R0740,0.0
R0750,36.29
R0760,1.431
R0770,413.0
R0780,171.813
R0790,0.0
R0800,0.0
R0810,0.0
R0820,316187.0
R0830,1791.0
R0840,110397.0
R0850,0.0
R0860,0.0
R0870,0.0
R0880,42.0
R0890,0.0
R0900,15976536.0
R1000,1184228.0
