,ZURICH_LIFE
R0510,-1.0
R0520,-1.0
R0530,-1.0
R0540,-1.0
R0550,-1.0
R0560,-1.0
R0570,-1.0
R0580,-1.0
R0590,-1.0
R0600,4420605.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,4420605.0
R0660,0.0
R0670,4349009.0
R0680,71596.0
R0690,5987451.0
R0700,0.0
R0710,5941706.0
R0720,45745.0
R0730,-1.0
R0740,0.0
R0750,19793.0
R0760,865.0
R0770,21124.0
R0780,154374.0
R0790,-1.0
R0800,0.0
R0810,3671.0
R0820,40705.0
R0830,2301.0
R0840,26276.0
R0850,0.0
R0860,0.0
R0870,0.0
R0880,67566.0
R0890,0.0
R0900,10744729.0
R1000,775308.0
